ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-08 19:00:00+00:00,34,26,637544167,10.3,10.3,10.3,10.3,2,MDY   241220C00610000
2024-11-08 19:00:00+00:00,34,26,620759834,2.22,2.22,2.22,2.22,5,MDY   241115C00610000
2024-11-08 19:00:00+00:00,34,28,620778003,0.8,0.8,0.8,0.8,10,MDY   250117P00410000
2024-11-08 19:00:00+00:00,34,27,637550230,22.61,22.61,22.61,22.61,1,MDY   241220C00590000
2024-11-08 19:00:00+00:00,34,22,620767647,4.39,4.39,4.39,4.39,10,MDY   241115C00605000
2024-11-08 19:00:00+00:00,34,20,620775313,33.0,33.0,33.0,33.0,1,MDY   241115C00570000
2024-11-08 19:00:00+00:00,34,35,637535102,16.07,16.07,16.07,16.07,1,MDY   241220C00600000
2024-11-08 19:00:00+00:00,34,22,620777976,0.94,0.94,0.94,0.94,8,MDY   250117P00380000
2024-11-08 19:00:00+00:00,34,29,620771468,20.1,20.1,20.1,20.1,1,MDY   241115C00585000
2024-11-08 19:00:00+00:00,34,26,620775313,33.0,33.0,33.0,33.0,1,MDY   241115C00570000
2024-11-08 19:00:00+00:00,34,22,637550219,0.91,0.91,0.91,0.91,8,MDY   241220P00380000
2024-11-08 19:00:00+00:00,34,26,637550219,0.77,0.77,0.77,0.77,2,MDY   241220P00380000
2024-11-08 19:00:00+00:00,34,26,637550215,0.7,0.7,0.7,0.7,4,MDY   241220P00420000
2024-11-08 19:00:00+00:00,34,35,637544163,11.07,11.07,11.07,11.07,1,MDY   241220P00600000
2024-11-08 19:00:00+00:00,34,20,637541136,145.58,145.58,145.58,145.58,5,MDY   241220C00460000
2024-11-08 19:00:00+00:00,34,26,620777976,0.8,0.8,0.8,0.8,2,MDY   250117P00380000
2024-11-08 20:00:00+00:00,34,23,620767104,13.0,13.0,13.0,13.0,2,MDY   250321C00635000
2024-11-08 20:00:00+00:00,34,37,620758560,7.5,7.5,7.5,7.5,1,MDY   250117P00580000
2024-11-08 20:00:00+00:00,34,26,637548687,1.4,1.4,1.4,1.4,1,MDY   250620P00360000
2024-11-08 20:00:00+00:00,34,37,637544163,11.0,11.2,11.0,11.2,2,MDY   241220P00600000
2024-11-08 20:00:00+00:00,34,22,620761353,6.35,6.35,6.35,6.35,10,MDY   250321C00660000
2024-11-08 20:00:00+00:00,34,28,620758598,14.98,14.98,14.98,14.98,2,MDY   250117C00610000
2024-11-08 20:00:00+00:00,34,28,637535102,15.21,15.21,15.21,15.21,5,MDY   241220C00600000
2024-11-08 20:00:00+00:00,34,22,637538074,8.45,8.45,8.45,8.45,10,MDY   250620C00680000
2024-11-08 20:00:00+00:00,34,29,637548687,0.9,0.9,0.9,0.9,2,MDY   250620P00360000
2024-11-08 20:00:00+00:00,34,28,637547223,7.53,7.53,7.53,7.53,5,MDY   241220C00615000
2024-11-08 20:00:00+00:00,34,28,620768117,16.43,16.43,16.43,16.43,2,MDY   250919C00670000
2024-11-11 14:00:00+00:00,34,34,637542836,1.35,1.35,1.35,1.35,1,MDY   250620P00385000
2024-11-11 14:00:00+00:00,34,22,637551395,0.8,0.8,0.8,0.8,1,MDY   241220P00520000
2024-11-11 14:00:00+00:00,34,32,620760522,72.35,72.35,72.35,72.35,1,MDY   250919C00570000
2024-11-11 14:00:00+00:00,34,26,620764161,4.5,4.5,4.5,4.5,10,MDY   241115C00610000
2024-11-11 14:00:00+00:00,34,29,637542836,1.05,1.05,1.05,1.05,1,MDY   250620P00385000
2024-11-11 14:00:00+00:00,34,23,620768125,38.6,38.6,38.6,38.6,1,MDY   241115C00570000
2024-11-11 14:00:00+00:00,34,32,620771426,47.0,47.0,47.0,47.0,3,MDY   250117C00570000
2024-11-11 14:00:00+00:00,34,22,620759862,3.2,3.2,3.2,3.2,1,MDY   250321C00690000
2024-11-11 14:00:00+00:00,34,29,637545968,0.75,0.75,0.75,0.75,1,MDY   250620P00350000
2024-11-11 14:00:00+00:00,34,32,637542836,1.05,1.05,1.05,1.05,1,MDY   250620P00385000
2024-11-11 15:00:00+00:00,34,26,637548342,25.6,26.5,25.6,26.5,6,MDY   241220C00590000
2024-11-11 15:00:00+00:00,34,37,637548342,26.0,26.0,26.0,26.0,1,MDY   241220C00590000
2024-11-11 15:00:00+00:00,34,33,637548332,4.9,4.9,4.9,4.9,1,MDY   241220P00585000
2024-11-11 15:00:00+00:00,34,22,637542830,9.46,9.46,9.45,9.45,20,MDY   250620C00680000
